ID,Species,Species code,Sex,Species,Sex,TL,SL,W,Age
20190110-018,Pseudanthias hawaiiensis,PSHI,.,PSHA,,76,61,8,4
20190110-019,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,76,60,7,
20190318-001,Pseudanthias hawaiiensis,PSHI,M,PSHA,M,82,79,10,5
20190318-002,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,69,64,5,2
20190318-003,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,79,67,7,4
20190318-004,Pseudanthias hawaiiensis,PSHI,M,PSHA,M,69,65,5,
20190318-005,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,70,66,5,3
20190318-006,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,69,63,6,3
20190318-007,Pseudanthias hawaiiensis,PSHI,M,PSHA,M,73,70,11,4
20190318-008,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,71,69,8,6
20190318-009,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,68,64,5,3
20190318-010,Pseudanthias hawaiiensis,PSHI,M,PSHA,M,77,74,10,4
20190318-011,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,68,64,5,3
20190318-012,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,65,57,5,2
20190318-013,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,57,55,4.5,
20190318-014,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,65,62,5,2
20190318-015,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,70,66,6,4
20190318-016,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,66,62,5,
20190318-017,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,60,58,5,2
20190318-018,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,65,59,4,3
20190318-019,Pseudanthias hawaiiensis,PSHI,F,PSHA,F,55,52,4,1
20191127-001,Pseudanthias hawaiiensis,PSHA,f,PSHA,f,60,45,3,
20191127-002,Pseudanthias hawaiiensis,PSHA,.,PSHA,,60,46,4,
20191127-003,Pseudanthias hawaiiensis,PSHA,m,PSHA,m,80,60,8.5,6
20191127-004,Pseudanthias hawaiiensis,PSHA,.,PSHA,,70,59,6.8,3
20191127-005,Pseudanthias hawaiiensis,PSHA,.,PSHA,,78,59,8,
20191127-006,Pseudanthias hawaiiensis,PSHA,.,PSHA,,75,60,8,4
20191127-007,Pseudanthias hawaiiensis,PSHA,.,PSHA,,54,39,2.8,
20191127-008,Pseudanthias hawaiiensis,PSHA,.,PSHA,,80,57,6.9,5
20221028-010,Pseudanthias hawaiiensis,PSHA,M,PSHA,M,82,61,8.188,5
20221028-011,Pseudanthias hawaiiensis,PSHA,M,PSHA,M,87,61,7.73,6
20221028-012,Pseudanthias hawaiiensis,PSHA,M,PSHA,M,79,60,7.042,5
20221028-013,Pseudanthias hawaiiensis,PSHA,M,PSHA,M,89,67,9.286,6
20221028-014,Pseudanthias hawaiiensis,PSHA,M,PSHA,M,87,66,8.965,6
20221028-015,Pseudanthias hawaiiensis,PSHA,M,PSHA,M,91,67,9.885,6
20221028-016,Pseudanthias hawaiiensis,PSHA,M,PSHA,M,85,65,7.77,6
20221028-017,Pseudanthias hawaiiensis,PSHA,F,PSHA,F,69,50,4.539,3
20221028-018,Pseudanthias hawaiiensis,PSHA,F,PSHA,F,75,69,5.777,3
20221028-019,Pseudanthias hawaiiensis,PSHA,.,PSHA,,,.,.,2
20221028-020,Pseudanthias hawaiiensis,PSHA,.,PSHA,,,.,.,1
20221028-021,Pseudanthias hawaiiensis,PSHA,.,PSHA,,,.,.,2
20221028-022,Pseudanthias hawaiiensis,PSHA,.,PSHA,,67,48,4.737,2
20221028-023,Pseudanthias hawaiiensis,PSHA,.,PSHA,,73,56,5.475,4
20221028-024,Pseudanthias hawaiiensis,PSHA,.,PSHA,,70,52,4.397,3
20221028-025,Pseudanthias hawaiiensis,PSHA,.,PSHA,,67,49,4.338,3
20221028-026,Pseudanthias hawaiiensis,PSHA,.,PSHA,,72,54,4.528,3
20221028-027,Pseudanthias hawaiiensis,PSHA,.,PSHA,,69,55,3.671,2
20221028-028,Pseudanthias hawaiiensis,PSHA,.,PSHA,,64,50,3.795,3
20221028-029,Pseudanthias hawaiiensis,PSHA,.,PSHA,,71,55,4.608,4
20221028-030,Pseudanthias hawaiiensis,PSHA,F,PSHA,F,68,51,4.161,3
20221028-031,Pseudanthias hawaiiensis,PSHA,.,PSHA,,63,40,2.282,
20221028-032,Pseudanthias hawaiiensis,PSHA,.,PSHA,,53,35,1.674,1
20221028-033,Pseudanthias hawaiiensis,PSHA,.,PSHA,,55,41,1.81,1
20221028-034,Pseudanthias hawaiiensis,PSHA,.,PSHA,,51,35,1.559,
20221028-035,Pseudanthias hawaiiensis,PSHA,F,PSHA,F,60,40,2.431,1
20221028-036,Pseudanthias hawaiiensis,PSHA,.,PSHA,,61,46,3.682,1
20221028-037,Pseudanthias hawaiiensis,PSHA,.,PSHA,,56,40,2.521,1